Code_2,NFR_wide,Code_3,NFR_mid,NFR Code,Source Description
1A,Fuel Combustion Activities,1A,Fuel Combustion Activities,1A,Fuel Combustion Activities
1A,Fuel Combustion Activities,1A1,Energy Industries,1A1,Energy Industries
1A,Fuel Combustion Activities,1A1,Energy Industries,1A1a,Public electricity and heat production
1A,Fuel Combustion Activities,1A1,Energy Industries,1A1b,Petroleum refining
1A,Fuel Combustion Activities,1A1,Energy Industries,1A1c,Manufacture of solid fuels and other energy industries
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2,Manufacturing Industries and Construction
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2a,Stationary combustion in manufacturing industries and construction: Iron and steel
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2b,Stationary combustion in manufacturing industries and construction: Non-ferrous metals
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2c,Stationary combustion in manufacturing industries and construction: Chemicals
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2d,"Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print"
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2e,"Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco"
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2f,Stationary combustion in manufacturing industries and construction: Non-metallic minerals
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2gvii,Mobile Combustion in manufacturing industries and construction: Other
1A,Fuel Combustion Activities,1A2,Manufacturing Industries and Construction,1A2gviii,Stationary combustion in manufacturing industries and construction: Other
1A,Fuel Combustion Activities,1A3,Transport,1A3,Transport
1A,Fuel Combustion Activities,1A3,Transport,1A3ai(i),International Aviation
1A,Fuel Combustion Activities,1A3,Transport,1A3aii(i),Domestic aviation
1A,Fuel Combustion Activities,1A3,Transport,1A3bi,Road Transport: Passenger Cars
1A,Fuel Combustion Activities,1A3,Transport,1A3bii,Road Transport: Light duty vehicles
1A,Fuel Combustion Activities,1A3,Transport,1A3biii,Road Transport: Heavy duty vehicles and buses
1A,Fuel Combustion Activities,1A3,Transport,1A3biv,Road Transport: Mopeds & Motorcycles
1A,Fuel Combustion Activities,1A3,Transport,1A3bv,Road Transport: Gasoline Evaporations
1A,Fuel Combustion Activities,1A3,Transport,1A3bvi,Road Transport: Automobile tyre and brake wear
1A,Fuel Combustion Activities,1A3,Transport,1A3bvii,Road Transport: Automobile road abrasion
1A,Fuel Combustion Activities,1A3,Transport,1A3c,Railways
1A,Fuel Combustion Activities,1A3,Transport,1A3dii,National Navigation (shipping)
1A,Fuel Combustion Activities,1A3,Transport,1A3eii,Other
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4,Other Sectors
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4ai,Commercial/Industrial stationary combustion
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4aii,Commercial/institutional: Mobile
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4bi,Residential stationary combustion
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4bii,Household and gardening mobile combustion
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4ci,Agriculture/Forestry/Fishing stationary combustion
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4cii,Off-road vehicles and other machinery from agriculture/forestry/fishing
1A,Fuel Combustion Activities,1A4,Other Sectors,1A4ciii,Fishing Vessels
1A,Fuel Combustion Activities,1A5,Other (not elsewhere specified),1A5,Other (not elsewhere specified)
1A,Fuel Combustion Activities,1A5,Other (not elsewhere specified),1A5b,"Other mobile combustion (including military, land based and recreational boats)"
1B,Fugitive Emissions from Fuels,1B,Fugitive Emissions from Fuels,1B,Fugitive Emissions from Fuels
1B,Fugitive Emissions from Fuels,1B1,Fugitive Emissions from Solid Fuels,1B1,Fugitive Emissions from Solid Fuels
1B,Fugitive Emissions from Fuels,1B1,Fugitive Emissions from Solid Fuels,1B1a,Coal Mining and Handling
1B,Fugitive Emissions from Fuels,1B1,Fugitive Emissions from Solid Fuels,1B1b,Solid fuel transformation
1B,Fugitive Emissions from Fuels,1B1,Fugitive Emissions from Solid Fuels,1B1c,Other
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2,Fugitive Emissions from Oil and Natural Gas
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2ai,"Oil: Exploration, production, transport"
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2aiv,Oil: Refining/storage
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2av,Oil: Distribution
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2b,"Natural Gas: Exploration, production, transport"
1B,Fugitive Emissions from Fuels,1B2,Fugitive Emissions from Oil and Natural Gas,1B2c,"Venting and flaring of oil, gas, combined oil and gas"
2,Industrial Processes and Product Use,2,Industrial Processes and Product Use,2,Industrial Processes and Product Use
2A,Industrial Processes and Product Use,2A,Mineral Products,2A,Mineral Products
2A,Industrial Processes and Product Use,2A1,Cement Production,2A1,Cement Production
