Gas,NFR/CRF Group,Source,Activity,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ammonia,1A,,,kilotonne,1.429182939,1.374776566,1.402806948,1.408240101,1.407584861,1.466717613,1.499336444,1.531228436,1.572768652,1.610245931,1.612655877,1.621510108,2.046068221,3.25813217,4.839857197,6.397455518,8.169998084,10.46280268,12.67648746,14.8334351,21.5861969,21.29949129,21.06364159,20.12675532,19.22584106,17.9648581,17.01744467,15.51225271,13.73349467,12.95981733,11.7936622,10.58335578,9.373469613,8.471273013,7.781668486,7.365463801,6.922025717,6.683173394,6.568147827,6.509860642,5.189250984,5.655060929
Ammonia,1A1a,Miscellaneous industrial/commercial combustion,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0.005194937,0.004526331,0.00479516,0.005020226,0.005132759,0.005651662,0.006245586,0.005935495,0.003834252,0.004051191,0.004252639,0.005942071,0.005609597,0.007626879,0.005443567,0.006745054,0.007494444,0.012137762,0.012224563,0.012677219,0.011091061,0.009059665,0.012976063,0.010071589,0.010182601,0.012965718,0.015538113,0.017475972,0.014166616,0.01138993,0.011732095,0.013920909,0.013586636
Ammonia,1A1a,Power stations,MSW,kilotonne,0,0,0,0,0,0,0,0,0.010405517,0.010275228,0.006898367,0.006795117,0.008148546,0.011677614,0.018478109,0.01954425,0.018920366,0.025304695,0.036561932,0.034537832,0.034028564,0.032801319,0.040650926,0.024103438,0.029039326,0.029124138,0.059635397,0.050082243,0.048943415,0.057112206,0.050332827,0.062117545,0.061501072,0.053546768,0.090557933,0.131825325,0.176488558,0.124056241,0.117262691,0.139845617,0.154776484,0.133489947
Ammonia,1A2a,Iron and steel - combustion plant,Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A2b,Non-Ferrous Metal (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,1A2c,Chemicals (combustion),Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,5.37E-07,6.03E-07,6.87E-07,7.98E-07,9.53E-07,1.18E-06,1.55E-06,2.27E-06,1.00E-06,2.57E-06,3.14E-06,2.75E-06,6.44E-06,1.06E-05,1.52E-05,1.38E-05,1.61E-05,1.07E-05,6.72E-06,1.15E-05,1.76E-05,1.86E-05,1.57E-05,1.97E-05,3.11E-05,4.27E-05,0.000160941,0.000344158,0.000347341,0.001520815,0.001520753,0.001520753
Ammonia,1A2d,"Pulp, Paper and Print (combustion)",Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0.000226269,0.000254031,0.000289558,0.000336638,0.000402,0.000498858,0.000654267,0.000958524,0.000422766,0.001085365,0.0013258,0.001159232,0.002714849,0.004471252,0.006412078,0.005810409,0.006773365,0.004508713,0.002833113,0.004843054,0.007401011,0.007859359,0.006608871,0.008342545,0.013234234,0.018333593,0.021253256,0.019084195,0.021346911,0.015989769,0.016476866,0.011308125
Ammonia,1A2e,"Food & drink, tobacco (combustion)",Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71E-06,0.000140546,0.00044145,0.000458726,0.002488215,0.003760737,0.003363873,0.003462042,0.002765542
Ammonia,1A2f,Cement - non-decarbonising,Clinker production,kilotonne,0.345170725,0.290502124,0.297547426,0.314019196,0.311981704,0.302825266,0.310435175,0.326145954,0.336333412,0.324869453,0.32401027,0.26622406,0.242338767,0.24538273,0.282818571,0.279136357,0.284978803,0.298038388,0.303708997,0.258883166,0.237562346,0.249825134,0.317070599,0.288221248,0.23163615,0.293341248,0.440660401,0.457137133,0.550201483,0.274872386,0.307798471,0.387316343,0.325817484,0.362683,0.398612592,0.491151,0.31407472,0.38038336,0.392871,0.46421661,0.39435584,0.381571059
Ammonia,1A2f,Mineral products (other): combustion,Biomass,kilotonne,-,-,-,-,-,-,-,-,-,-,9.53E-05,0.000106994,0.000121957,0.000141786,0.000169316,0.000210111,0.000275567,0.000403715,0.000178062,0.000457138,0.000558405,0.00048825,0.00114345,0.001883219,0.002700663,0.00244725,0.002852832,0.001898997,0.001193261,0.002039816,0.003117181,0.00331012,0.002782406,0.003502957,0.005522498,0.00758876,0.007199593,0.007763794,0.007628768,0.012393901,0.0112713,0.011934157
