Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nitrogen oxides (NOx expressed as NO2),1A,,,kilotonne,2853.834771,2835.21016,2823.195126,2991.476337,2802.015015,2722.282705,2764.552374,2779.167382,2820.705031,2919.497055,2788.614727,2674.426087,2669.822832,2636.538423,2598.847999,2695.60704,2783.99193,2857.368028,2923.395021,2977.658449,2772.68923,2710.664174,2653.938284,2519.508384,2487.25227,2395.092146,2299.922525,2139.232378,2092.495344,1989.672207,1921.305092,1881.725088,1793.211669,1770.986106,1721.092366,1699.34618,1648.358294,1577.598135,1416.632123,1235.74428,1204.448925,1120.20829,1147.954088,1086.8885,1011.763044,971.6623639,880.7590755,844.5309863,802.9757563,748.9314885,642.4278306,643.3003698
Nitrogen oxides (NOx expressed as NO2),1A1a,Miscellaneous industrial/commercial combustion,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575134105,0.574340817,0.608452219,0.637010602,0.651289794,0.717132733,0.792495133,0.753148027,0.45709965,0.478199705,0.402981389,0.638506699,0.666268838,0.695608612,0.869521253,0.893991523,0.795223377,0.504317029,0.61494118,0.679769138,0.574946241,0.638653107,0.890492009,0.858156672,0.930138764,0.900790644,0.962290472,0.946910161,1.031886399,0.9739825,1.013669354,1.248586771,1.483903934
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Burning oil,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001038672,0.001038672,0.000695992,0.001010865,0.001189974,0.001068115,0.001109007,0.001005958,0.064301509,0.065690155,0.020439879,0.007812138,0.007142766,0.004110942,0.004966435,0.004129273,0.003646239,0.002801717,0.003013808,0.007449268,0.003390598,0.004232256,0.003922698,0.005018367,0.004480006
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Coal,kilotonne,687.454048,648.556841,593.376047,683.830527,596.990665,664.1638,692.6534,712.24,717.5818,790.5864,797.432807,776.564175,714.269884,726.173195,475.518133,658.28782,735.850756,767.224928,734.185895,720.1010698,651.9933487,598.7669778,571.8259032,476.2664516,477.3208866,443.9443988,386.4989292,299.1575635,298.3374336,253.0493204,274.875397,310.5408216,291.1132845,328.9565249,297.4729754,315.4126245,336.39611,301.106455,212.0236551,180.8279765,175.2072743,174.8138519,231.7168937,216.2642262,163.4340338,127.7193679,51.5680522,35.92092943,23.12106221,10.87804386,7.975732436,5.646233533
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Coke,kilotonne,3.2943006,1.1444988,0.4175874,0.154662,0.0979526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Fuel oil,kilotonne,116.17328,139.9584,169.78496,157.51664,161.17664,126.12848,98.39056,99.17136,108.7752,104.5784,61.83936,46.53568,61.11712,36.63904,193.17968,92.80784,53.53271825,42.19962771,48.58588491,45.53205867,59.74944233,44.31342479,28.28053455,25.62227722,19.37275651,18.28315164,17.77359637,7.238102919,5.625456377,6.150325118,5.867456915,6.555043418,4.94273649,4.541202404,5.116534789,5.92031146,7.235570598,6.032143301,8.089349245,5.510287287,3.944316531,2.628364775,2.686358791,2.562167987,2.478709778,2.599412122,2.466470982,1.950130632,1.789011366,1.314330327,1.164748129,1.057576026
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Gas oil,kilotonne,5.04987,3.72123,8.5116,4.42707,3.77313,2.19018,1.8684,3.71085,2.55867,2.45487,0.9342,0.49305,1.23522,0.66951,2.32512,1.10028,0.39963,0.35292,0.35811,0.26988,0.283564261,0.324135548,0.246734302,0.334319153,0.192375012,0.160642325,0.170204397,0.367102961,0.391223318,0.457358266,0.4055162,0.386073064,3.377578754,0.319521243,3.71225867,0.439571237,0.442223561,0.327085156,0.493601936,0.484882381,0.305925899,0.219552351,0.222675692,0.319633931,0.36154477,0.355797648,0.326277427,0.32294451,0.520868971,0.645985046,0.784696736,2.297047587
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.920429316,1.902220587,1.700602737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Natural gas,kilotonne,0.281356669,1.233280065,2.954245023,1.336444177,4.618938648,4.023400365,3.001137802,2.053903683,1.186387287,0.754973728,0.25791028,0,0,0,0.464238504,0.590849005,0.005158206,0.005627133,0.007971772,0.008909628,0.014083337,0.032327659,0.440682448,11.22486207,14.60928906,17.10391512,21.62694056,33.27183994,37.28658474,38.47520647,42.46480748,38.96656817,40.41837771,38.14520805,39.33884542,39.55393648,35.64495959,41.36887448,46.95669607,44.17417908,40.72341164,28.73655831,19.32519523,17.53717954,18.89162911,17.87857645,23.55080091,22.26669556,21.38946057,20.08236955,17.435349,18.37548318
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333971767,0.457796354,0.457815425,0.684715175,1.240920757,1.471836432,1.701748126,1.850337343,2.330240354,3.022987379,3.903478888,5.606230995,7.204067067,8.255134981,8.820175598,10.78797874,13.18367867,14.12782259,14.56897192,15.39986676,15.46281638,16.19250991,17.17821865,17.51123921,17.15060917,17.03916726,16.57352078,16.04321791,15.48570715,14.105735,12.8939297,8.690963218,8.383544176,7.944202005
