Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carbon Monoxide,1A,,,kilotonne,8391.385747,7784.429839,7297.091584,7344.593017,6994.533624,6569.684694,6566.113142,6680.845821,6662.769011,6772.686508,6270.887562,6243.053469,6263.290304,6123.187499,5980.357496,6638.519928,6821.063689,6838.564299,6874.962438,7073.926661,7087.226334,7231.710964,6946.883767,6767.488694,6347.110023,5908.539098,5894.570807,5556.806949,5321.150314,4950.938569,4458.595102,4124.484371,3670.03994,3385.0056,3188.419923,3004.998073,2811.547044,2760.703877,2272.332931,1850.808151,1750.671183,1618.396112,1593.778156,1520.780085,1443.415267,1388.454926,1243.522872,1264.750149,1269.071794,1179.212219,1090.386344,1123.818712
Carbon Monoxide,1A1a,Miscellaneous industrial/commercial combustion,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223663263,0.223354762,0.236620307,0.247726345,0.253279364,0.254778156,0.229265444,0.238220275,0.07943305,0.045690043,0.051536289,0.06445071,0.070595429,0.074317207,0.086141929,0.087586756,0.090914049,0.081062356,0.09259022,0.099643681,0.085643697,0.084219099,0.105411809,0.106286625,0.134525253,0.077561676,0.085425761,0.07439517,0.091141068,0.08615192,0.079468235,0.096069405,0.111348651
Carbon Monoxide,1A1a,Power stations,Burning oil,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177052,0.000177052,0.000124343,0.000256809,0.000196253,0.000186653,0.000195699,0.000214161,0.012490288,0.01678144,0.006075726,0.003686576,0.002991029,0.00244005,0.00252587,0.002470226,0.001514014,0.001542502,0.001707528,0.004192816,0.001928284,0.002191977,0.002163607,0.002842422,0.002547619
Carbon Monoxide,1A1a,Power stations,Coal,kilotonne,97.64043179,92.11578603,84.27835084,97.12577607,84.79174204,94.33247269,98.37890584,101.1608286,101.9195348,112.2885198,113.2609282,110.296916,101.449137,103.1397873,67.53876272,93.49789585,104.5143101,108.9704446,104.2778467,101.9612637,104.3916526,103.7164041,97.35338793,81.05005589,85.58763195,83.99819339,79.9649608,30.98437473,47.31966875,38.91128142,44.15386365,48.98724604,46.05333154,49.32647423,47.02434007,42.9966572,49.66300987,47.84012664,41.35736063,35.26445898,37.05505933,37.4351661,51.94752067,48.47094109,35.320462,26.01282567,9.195872848,6.02354001,15.83159317,7.641427665,4.178760779,6.568964921
Carbon Monoxide,1A1a,Power stations,Coke,kilotonne,0.16566714,0.05755572,0.02100006,0.0077778,0.00492594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Fuel oil,kilotonne,14.47372076,17.43704576,21.15305775,19.6245803,20.08057,15.71401272,12.25821885,12.35549665,13.5520136,13.02914542,7.70440181,5.797756918,7.614419844,4.564760795,24.06774385,11.56268258,6.669499351,5.257539666,6.053186508,6.290631107,7.204027356,5.335128908,3.636898647,3.262917394,2.432726085,2.207859876,2.320418256,1.573286946,1.898834352,1.85026201,1.803476601,1.948682925,1.603305594,1.5023296,1.939247606,1.066175731,1.204852196,1.239935357,1.808131994,1.429185508,1.250544298,0.834235547,0.849129753,0.479321602,0.401127795,0.482226897,0.511187938,0.341393677,0.734228188,0.401236359,0.281447056,0.242154996
Carbon Monoxide,1A1a,Power stations,Gas oil,kilotonne,0.630504,0.464616,1.06272,0.552744,0.471096,0.273456,0.23328,0.46332,0.319464,0.306504,0.11664,0.06156,0.154224,0.083592,0.290304,0.137376,0.049896,0.044064,0.044712,0.033696,0.042270601,0.048509167,0.039546518,0.048465204,0.053021361,0.031864307,0.034144592,0.030518721,0.118040026,0.158921348,0.115462336,0.091438327,0.703544537,0.058893492,0.32639045,0.142756335,0.168149126,0.148210078,3.510035632,0.171443713,0.14416359,0.129608312,0.163637693,0.166067857,0.141659953,0.166973283,0.109962122,0.101228547,0.162824285,0.179284326,0.18544697,0.579916405
Carbon Monoxide,1A1a,Power stations,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.403334195,0.833557336,0.745207941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Natural gas,kilotonne,0.032090633,0.140663942,0.336951648,0.152430507,0.526821227,0.458896054,0.342300087,0.234261622,0.135315503,0.086109866,0.029416414,0,0,0,0.052949545,0.06739033,0.000588328,0.000641813,0.000909235,0.001016203,0.0016063,0.003687188,0.050262817,0.918968534,1.679887573,1.952608719,2.996521077,3.499021454,5.224124714,5.955246311,12.41503376,9.840762098,9.95429614,11.39734267,12.58619855,11.8681854,13.16922201,13.46557799,12.48453428,12.75486248,13.31034938,12.51447181,11.78538493,9.915146272,10.01909539,9.969957014,9.306902465,10.14121957,9.590054889,10.85498964,10.31371734,11.57379349
Carbon Monoxide,1A1a,Power stations,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182635247,0.250349755,0.250360184,0.374442205,0.678607868,0.804886031,0.930615159,1.011872411,1.274311377,1.653145866,2.134649992,3.065814186,3.939604172,4.514389428,4.823386603,5.899496167,7.209604657,7.725917634,7.967163829,8.421545602,8.455970127,8.855009123,9.394052169,9.576167241,9.378953693,9.318010753,9.063368092,8.773367545,8.468488137,7.713838853,7.051153014,4.752725735,4.584611067,4.344353136
