Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Carbon Dioxide as Carbon,1A1ai,Miscellaneous industrial/commercial combustion,MSW,kilotonne,22.97818417,23.3760748,31.13494218,37.10330171,43.37007921,51.12894659,62.75730039,52.03414778,49.33843873,49.03007349,75.96726947,80.32417192,91.74363314,116.5123252,115.0699716,126.7779035,111.0114871,136.5859077,152.5910585,143.1511032,137.1827437,151.5863846,143.3003122,153.8842031,157.5746387,136.7052749,143.2406286,166.9051741,165.6219768,160.6881329,184.8500417,213.7965854,194.0114736
Carbon Dioxide as Carbon,1A1ai,Power stations,Coal,kilotonne,49949.94892,50185.84247,46898.59857,39044.70215,36854.35919,34686.77975,32618.09986,28045.02069,29136.97238,24572.55966,27706.60927,30895.23502,29131.64812,31921.9712,30712.7296,31121.81295,34396.65589,31367.58688,28327.00521,23239.66343,24508.9086,24711.16026,32945.8954,30539.31835,23397.82824,17837.21652,7411.499664,5341.928407,4001.207686,1765.120114,1421.032362,1567.975552,1376.166491
Carbon Dioxide as Carbon,1A1ai,Power stations,Fuel oil,kilotonne,5308.055429,3989.495195,2790.078402,2513.423661,1925.776836,1831.340194,1825.921728,943.2592568,808.4258448,840.3741607,830.9155421,867.1844762,685.2141635,640.1404954,723.6832202,584.7325314,770.6993291,625.3861741,885.4813532,670.6437294,484.1237703,340.7907531,385.9957318,302.5745481,254.6706926,250.5587768,269.6358132,202.7712952,201.3474515,185.0600322,143.5824507,141.3267741,138.705701
Carbon Dioxide as Carbon,1A1ai,Power stations,Gas oil,kilotonne,178.4007252,186.7560658,181.3576927,194.5074153,205.3746227,181.646031,193.1531771,294.1981997,282.1713714,328.7114906,280.2448319,282.6416169,284.902852,290.6011389,326.8877697,315.5549051,333.845962,249.1362344,256.4594609,235.1383395,227.7550855,231.5968231,224.7843966,234.2973331,237.9029723,226.9493271,211.1002191,204.3680738,217.6561544,210.5574305,188.931201,190.6961284,172.7389143
Carbon Dioxide as Carbon,1A1ai,Power stations,Natural gas,kilotonne,4.352029503,10.00922309,136.7067906,2504.266297,4003.586217,5339.289573,7500.397461,10147.40578,11220.89121,13658.2927,13954.73053,13774.15838,14534.45133,14304.6282,15286.5292,14817.47635,13915.01375,16018.71318,17289.47966,16433.96515,17266.99349,13850.47004,9216.969419,8791.046262,9514.081685,9317.814228,13592.97359,12930.68042,12357.86207,12310.65307,10358.48385,11421.69215,11747.4611
Carbon Dioxide as Carbon,1A1ai,Power stations,Orimulsion,kilotonne,92.6125,249.755,768.385,846.0600002,733.1325,762.41,521.02,108.745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,MSW,kilotonne,43.66792333,41.43509385,47.79316461,71.40474966,107.2082505,123.6372027,106.0146826,156.4410229,249.4033613,229.8829571,240.0281376,249.3201938,262.2229281,232.2191914,225.1055602,213.335073,248.7427465,226.8593491,220.1252653,290.8732592,327.3492808,331.1325631,436.5642715,420.349436,595.2273165,845.0840145,1050.512263,1118.115217,1304.332774,1465.456869,1603.149475,1673.259116,1683.440102
Carbon Dioxide as Carbon,1A1ai,Power stations,Waste oils,kilotonne,92.36480671,87.11791643,92.11431279,96.40380686,97.00718747,111.3698066,109.5979306,112.7176633,103.7217313,99.45676176,108.9745763,123.982392,130.4340729,146.0804838,163.3535548,133.9739131,-,-,-,48.74563477,55.44932769,46.94802304,39.40249381,41.81691022,41.6260041,39.1874575,38.94515548,39.58217973,35.27865543,34.21679302,28.03708775,28.06926138,26.54680497
Carbon Dioxide as Carbon,1A1ai,Power stations,Sour gas,kilotonne,-,-,580.2031527,1479.031058,1661.301113,1716.260405,1762.87145,1402.879418,862.5300925,758.4350566,424.2943206,221.7367742,202.9725855,108.9104969,115.5761002,84.88428053,28.76831018,1.961731774,-,12.07151752,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,Scrap tyres,kilotonne,-,-,-,-,24.57956432,24.57956432,38.23487784,41.87629477,30.04168973,22.75885586,7.414899193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ai,Power stations,Burning oil,kilotonne,-,-,-,-,-,-,-,0.250993418,0.250993418,0.250993418,0.250993418,0.28427873,0.2636399,0.251857552,0.260219219,13.91966378,15.90507907,6.147004,4.04351057,3.181549457,2.2937018,2.37260095,2.04930771,1.425747584,1.450636954,1.632575886,3.976631922,1.815339647,2.218385735,2.091904922,2.68199781,2.400130995,2.32194242
Carbon Dioxide as Carbon,1A1ai,Power stations,Petroleum coke,kilotonne,-,-,-,-,-,-,-,21.14983952,-,-,-,-,-,-,-,78.75100447,105.2881872,156.3555292,263.6431714,432.2719773,184.4933872,41.78352527,95.95127133,44.93202659,-,29.561232,-,-,-,-,-,-,-
