Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PM0.1 (Particulate Matter < 0.1&micro;m),1A,,,kilotonne,65.23932037,58.77827496,53.37339977,54.1431884,49.32172875,44.02665502,43.83217678,43.3839981,42.35200652,43.36035915,39.18842911,36.96302168,35.96773582,34.67705078,31.6034388,33.9030352,35.06897642,33.66252027,34.52891734,34.62848322,35.41179243,36.58356521,36.44344078,35.52306637,34.65699757,32.56829705,31.86859412,30.10940824,28.46853088,27.36646499,24.33059819,23.12116805,20.67718785,19.98093135,19.57239771,19.49885122,18.85102802,17.35776618,15.86507116,14.46235739,14.57431218,13.25918613,13.22369779,12.97593933,12.10864741,11.43154929,10.78439659,10.57189388,10.60871882,9.8766819,8.979438025,9.416655841
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Miscellaneous industrial/commercial combustion,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001477953,0.001525033,0.001615608,0.001691439,0.001729354,0.001904185,0.002104293,0.001999815,0.001291855,0.001364947,0.000660222,0.000949692,0.001664261,0.001117615,0.001289085,0.00143371,0.001655089,0.001394937,0.001649109,0.001882925,0.001547402,0.00167058,0.002069875,0.001528014,0.001730426,0.001492335,0.001631145,0.001193696,0.001748909,0.001745461,0.002070417,0.002594092,0.002830421
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Burning oil,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52801014341236e-07,1.52801014341236e-07,1.24092944980156e-07,1.45855513689362e-07,1.3659484615353e-07,1.34279679269572e-07,1.15758344197907e-07,1.15758344197906e-07,6.78304446799388e-06,0.000183054,7.19469544328133e-05,7.53127902367079e-06,6.602607707696e-06,9.73307533288913e-06,8.36792092375995e-06,0.000213012,2.91326570335402e-06,2.96412277645718e-06,3.33588314662479e-06,8.12555148218349e-06,3.70932891048027e-06,3.9881401034108e-06,4.33287961787688e-06,6.48636809265718e-06,1.33525624078124e-06
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Coal,kilotonne,5.157997138,4.86614973,4.452125871,5.130809705,4.479246505,4.983249411,5.197008099,5.343967197,5.384046951,5.931803588,5.983172473,5.826594234,5.359197503,5.448508555,3.567832899,4.939161682,5.521119709,5.756521464,5.508628186,5.386251337,5.514640155,5.478969173,5.142833636,4.281586522,3.792237266,2.879675629,2.647194685,1.575212992,1.801902119,1.37072914,1.60022451,1.215898975,0.578222848,0.513239366,0.55091325,0.478957352,0.606013399,0.475013659,0.394089726,0.271179719,0.295497094,0.296954671,0.484097456,0.445691883,0.333897369,0.222635501,0.061144065,0.050059405,0.032293413,0.019280533,0.010406876,0.006996602
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Coke,kilotonne,0.004980268,0.001730234,0.000631302,0.000233815,0.000148083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Fuel oil,kilotonne,0.254425811,0.306516519,0.37183831,0.344970021,0.352985621,0.276228241,0.215480686,0.21719068,0.238223613,0.229032392,0.135431567,0.101915674,0.133849822,0.080241493,0.423074021,0.203254225,0.117239569,0.092419483,0.106405734,0.110579646,0.126635751,0.093783383,0.0639311,0.057357083,0.040498112,0.028434908,0.035618222,0.261420248,0.209599291,0.165643832,0.1396764,0.10777058,0.050286661,0.046887732,0.046187974,0.038442223,0.047045683,0.035376381,0.066673774,0.041691401,0.034711512,0.022666889,0.024677228,0.012129843,0.009723838,0.010431913,0.009552889,0.008322299,0.006347167,0.004067475,0.003088028,0.002415809
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Gas oil,kilotonne,0.082202943,0.060575036,0.138553779,0.072064862,0.061419876,0.035652253,0.030414244,0.060406068,0.041650618,0.039960938,0.015207122,0.008025981,0.020107195,0.010898438,0.037848837,0.01791061,0.006505269,0.005744913,0.005829397,0.004393169,0.005397083,0.006192762,0.005012753,0.00620858,0.006775943,0.004021001,0.005211437,0.005446801,0.001457823,0.011460205,0.002414032,0.000935446,0.00233099,0.003756713,0.038724906,0.007540942,0.009444038,0.005462688,0.005878575,0.005806353,0.009206744,0.002656866,0.003867346,0.005159121,0.009889033,0.005010922,0.006386004,0.005485657,0.004054166,0.005445001,0.004087761,0.025473112
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.004602147,0.009511103,0.008503014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Natural gas,kilotonne,0.004564127,0.02000609,0.047923334,0.021679604,0.074927753,0.065267017,0.048684022,0.033318128,0.019245403,0.012247074,0.004183783,0,0,0,0.00753081,0.009584667,8.36756632994934e-05,9.12825417812654e-05,0.000129317,0.000144531,0.000228458,0.000524415,0.007148687,0.130701353,0.208551714,0.277501443,0.388942551,1.034506078,0.049089229,0.149993913,0.086284406,0.092368502,0.204960494,0.223298217,0.207945817,0.308705553,0.340811728,0.471517882,0.508431354,0.357340339,0.367363571,0.278816256,0.247230751,0.196155059,0.066887311,0.023622324,0.05683974,0.057119741,0.090931451,0.047381452,0.038487358,0.022571497
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006885891,0.009438928,0.009439322,0.014117582,0.02558553,0.030346591,0.035086952,0.038150592,0.048045319,0.062328503,0.080482637,0.11559029,0.148534765,0.170205874,0.181855984,0.222428507,0.271823484,0.291290015,0.300385712,0.317517253,0.31881516,0.333860113,0.354183635,0.361049914,0.353614378,0.351316649,0.341715865,0.330781984,0.319287126,0.290834609,0.265849387,0.17919186,0.172853438,0.163795001
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009444285,0.009773719,0.011188944,0.01162095,0.01162095,0.013370572,0.012776565,0.014536987,0.014536987,0.014439786,0.013662176,0.014536987,0.013003368,0.012854326,0.013019568,0.012150157,0.013407293,0.016503693,0.015758483,0.017482185,0.01942189,0.021360515,0.02562657,0.027451794,0.026160097,0.02713211,0.029759784,0.031681128,0.033660794,0.034265602,0.035139333,0.025180525,0.02561793,0.025135164
