"","year","pollutant","emission","data_source","baseline_emission","emissions_relative_to_baseline"
"1",1970-01-01,"NH3",NA,"historic",309.8,NA
"2",1970-01-01,"NOx (as NO2)",2919.9,"historic",2919.9,100
"3",1970-01-01,"PM10",689.4,"historic",689.4,100
"4",1970-01-01,"PM2.5",545.8,"historic",545.8,100
"5",1970-01-01,"SOx (as SO2)",6533.1,"historic",6533.1,100
"6",1971-01-01,"NH3",NA,"historic",309.8,NA
"7",1971-01-01,"NOx (as NO2)",2908.5,"historic",2919.9,99.6095756703997
"8",1971-01-01,"PM10",634.2,"historic",689.4,91.9930374238468
"9",1971-01-01,"PM2.5",483.8,"historic",545.8,88.6405276658117
"10",1971-01-01,"SOx (as SO2)",6189.3,"historic",6533.1,94.7375671580107
"11",1972-01-01,"NH3",NA,"historic",309.8,NA
"12",1972-01-01,"NOx (as NO2)",2898,"historic",2919.9,99.2499743141888
"13",1972-01-01,"PM10",561,"historic",689.4,81.3751087902524
"14",1972-01-01,"PM2.5",424.8,"historic",545.8,77.8307072187615
"15",1972-01-01,"SOx (as SO2)",5939.1,"historic",6533.1,90.9078385452542
"16",1973-01-01,"NH3",NA,"historic",309.8,NA
"17",1973-01-01,"NOx (as NO2)",3069.9,"historic",2919.9,105.137162231583
"18",1973-01-01,"PM10",584.9,"historic",689.4,84.841891499855
"19",1973-01-01,"PM2.5",432.2,"historic",545.8,79.1865152070355
"20",1973-01-01,"SOx (as SO2)",6103.1,"historic",6533.1,93.4181322802345
"21",1974-01-01,"NH3",NA,"historic",309.8,NA
"22",1974-01-01,"NOx (as NO2)",2879.4,"historic",2919.9,98.6129661974725
"23",1974-01-01,"PM10",531.7,"historic",689.4,77.1250362634175
"24",1974-01-01,"PM2.5",401,"historic",545.8,73.4701355807988
"25",1974-01-01,"SOx (as SO2)",5592.7,"historic",6533.1,85.605608363564
"26",1975-01-01,"NH3",NA,"historic",309.8,NA
"27",1975-01-01,"NOx (as NO2)",2796.7,"historic",2919.9,95.7806774204596
"28",1975-01-01,"PM10",504,"historic",689.4,73.1070496083551
"29",1975-01-01,"PM2.5",354.4,"historic",545.8,64.9322096005863
"30",1975-01-01,"SOx (as SO2)",5312.6,"historic",6533.1,81.318210344247
"31",1976-01-01,"NH3",NA,"historic",309.8,NA
"32",1976-01-01,"NOx (as NO2)",2844.5,"historic",2919.9,97.4177197849241
"33",1976-01-01,"PM10",492.4,"historic",689.4,71.4244270380041
"34",1976-01-01,"PM2.5",347.7,"historic",545.8,63.7046537193111
"35",1976-01-01,"SOx (as SO2)",5136.8,"historic",6533.1,78.627297913701
"36",1977-01-01,"NH3",NA,"historic",309.8,NA
"37",1977-01-01,"NOx (as NO2)",2861.2,"historic",2919.9,97.9896571800404
"38",1977-01-01,"PM10",486.6,"historic",689.4,70.5831157528285
"39",1977-01-01,"PM2.5",345.2,"historic",545.8,63.2466104800293
"40",1977-01-01,"SOx (as SO2)",5129.9,"historic",6533.1,78.5216818968024
"41",1978-01-01,"NH3",NA,"historic",309.8,NA
"42",1978-01-01,"NOx (as NO2)",2905,"historic",2919.9,99.4897085516627
"43",1978-01-01,"PM10",476.6,"historic",689.4,69.1325790542501
"44",1978-01-01,"PM2.5",331.9,"historic",545.8,60.8098204470502
"45",1978-01-01,"SOx (as SO2)",5176.7,"historic",6533.1,79.2380340114188
"46",1979-01-01,"NH3",NA,"historic",309.8,NA
"47",1979-01-01,"NOx (as NO2)",3009.5,"historic",2919.9,103.068598239666
"48",1979-01-01,"PM10",479.7,"historic",689.4,69.5822454308094
"49",1979-01-01,"PM2.5",339.5,"historic",545.8,62.2022718944668
"50",1979-01-01,"SOx (as SO2)",5500.4,"historic",6533.1,84.1928028041818
"51",1980-01-01,"NH3",309.8,"historic",309.8,100
"52",1980-01-01,"NOx (as NO2)",2869,"historic",2919.9,98.2567896160827
"53",1980-01-01,"PM10",441.6,"historic",689.4,64.0557006092254
